freq,animals,unit,geo\TIME_PERIOD	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 	2024 
A,A2000,THS_HD,FRF3	936.00 	939.00 p	934.00 	917.00 	913.67 	894.71 	879.57 	864.71 	843.60 	834.01 	827.99 p	815.01 
A,A2000,THS_HD,FRG0	2538.00 	2551.00 p	2545.00 	2512.00 	2480.12 	2422.49 	2348.17 	2273.28 	2200.19 	2140.87 	2107.50 p	2062.22 
A,A2000,THS_HD,FRH0	2044.00 	2054.00 p	2060.00 	2020.00 	2039.87 	2008.82 	1957.47 	1908.76 	1832.28 	1774.29 	1735.78 p	1691.00 
A,A2000,THS_HD,FRI1	697.00 	689.00 p	687.00 	674.00 	655.41 	635.59 	608.93 	595.45 	570.76 	547.88 	532.43 p	511.85 
A,A2000,THS_HD,FRI2	1069.00 	1092.00 p	1116.00 	1099.00 	1085.44 	1054.32 	1027.71 	1024.66 	997.67 	980.79 	970.73 p	941.50 
A,A2000,THS_HD,FRI3	755.00 	761.00 p	765.00 	752.00 	740.49 	723.66 	706.09 	693.33 	667.76 	645.32 	633.13 p	617.19 
A,A2000,THS_HD,FRJ1	212.00 	217.00 p	223.00 	219.00 	222.41 	219.75 	217.58 	218.27 	217.22 	210.64 	211.68 p	211.64 
A,A2000,THS_HD,FRJ2	1203.00 	1215.00 p	1222.00 	1197.00 	1197.49 	1168.87 	1147.98 	1134.32 	1096.44 	1058.42 	1036.39 p	1016.50 
A,A2000,THS_HD,FRK1	1576.00 	1603.00 p	1632.00 	1589.00 	1606.78 	1575.85 	1532.53 	1518.64 	1493.52 	1476.32 	1479.82 p	1467.04 
A,A2000,THS_HD,FRK2	1013.00 	1025.00 p	1038.00 	1021.00 	1020.82 	990.59 	969.41 	955.49 	944.33 	931.57 	931.75 p	927.38 
A,A2000,THS_HD,FRL0	67.00 	68.00 p	70.00 	70.00 	70.90 	68.97 	68.89 	70.35 	69.36 	67.91 	68.46 p	69.49 
A,A2000,THS_HD,FRM0	64.00 	64.00 p	63.00 	63.00 	62.58 	58.21 	54.57 	54.70 	50.19 	41.60 	38.25 p	38.06 
A,A2000,THS_HD,FRY1	: 	46.00 p	47.00 	46.00 	47.34 	42.07 	40.78 	35.35 	39.18 	36.16 	35.53 p	35.64 
A,A2000,THS_HD,FRY2	39.00 	38.00 p	35.00 	32.00 	32.36 	30.71 	29.60 	14.14 	27.28 	23.38 	22.19 p	22.14 
A,A2000,THS_HD,FRY3	18.00 	18.00 p	19.00 	19.00 	19.02 	18.19 	17.97 	17.20 	17.53 	16.21 	15.01 p	14.59 
A,A2000,THS_HD,FRY4	29.00 	29.00 p	30.00 	31.00 	30.83 	30.15 	29.29 	27.21 	25.17 	24.29 	22.95 p	22.69 
A,A2000,THS_HD,FRY5	: 	: p	: 	20.00 	20.73 	20.71 	20.51 	20.49 	20.38 	20.49 	21.18 p	23.09 
A,A2000,THS_HD,HR01	158.8 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,A2000,THS_HD,HR02	249.1 	: 	: 	: 	: 	: 	: 	: 	: 	246.60 b	245.40 	244.40 
A,A2000,THS_HD,HR03	34.60 	31.80 	32.40 	37.10 	46.70 	44.50 b	48.20 	55.30 	60.40 	63.20 b	64.30 	71.20 
A,A2000,THS_HD,HR04	: 	408.80 	421.90 	407.50 	404.00 	369.60 b	372.00 	367.60 	367.20 	: 	: 	: 
A,A2000,THS_HD,HR05	: 	: 	: 	: 	: 	: 	: 	: 	: 	2.20 b	4.60 	1.80 
A,A2000,THS_HD,HR06	: 	: 	: 	: 	: 	: 	: 	: 	: 	109.80 b	100.90 	105.10 
A,A2000,THS_HD,HU10	73.00 	64.00 	68.00 	74.00 	79.00 	80.00 	87.00 	87.00 	86.10 	: 	: 	: 
