freq,hatchitm,animals,unit,geo\TIME_PERIOD	1967 	1968 	1969 	1970 	1971 	1972 	1973 	1974 	1975 	1976 	1977 	1978 	1979 	1980 	1981 	1982 	1983 	1984 	1985 	1986 	1987 	1988 	1989 	1990 	1991 	1992 	1993 	1994 	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 	2024 
A,CU,A5130M,THS,PT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	2660 	4184 	2551 	1041 	1564.7 	906 	1556 	1118 	14 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,CU,A5130M,THS,RO	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	534.1 	2866.6 	490.6 	1632.9 	1601.3 	2184.9 	2102 	1451.2 	2419.1 	2718.1 	2351.9 	2035.3 	3673.35 	5652.56 	5618.9 	6249.69 	8167.36 	7533.4 
A,CU,A5130M,THS,RS	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 n	: @C	: @C	: @C	: @C	: @C
A,CU,A5130M,THS,SE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	0 	: 	: 	: 	: 	: 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: @C	: @C	: @C	: @C	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,CU,A5130M,THS,SI	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,CU,A5130M,THS,SK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	: 	: 	: 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,CU,A5130M,THS,UK	: 	: 	: 	: 	: 	: 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	: 	: 	0 	0 	: 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	: 	: 	: 	: 	: 	0 p	0 p	0 	0 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,CU,A5130O,THS,AT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	4745.9 	4757.4 	4927.1 	4644.4 	4149.3 	4898.2 	5196.2 	5317 	6203 	5775.5 	5472.8 	5865.5 	6156.3 	4739.6 	6216.1 	7371.6 	8897.1 	8749.5 	8456.3 	9337.13 	10031.12 	9201.98 	9176.39 	9553.19 	9280.09 	9435.79 	9886.5 	9233.47 	10602.1 	11400.19 
A,CU,A5130O,THS,BA	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	2118 	1894 	1446 	1621 	1507 	1153 	970 	: 	2058 e	2766 e	2498 e
A,CU,A5130O,THS,BE	: 	: 	: 	15163.9 	13957.3 	14273.9 	13766.4 	14034.6 	12954 	12797 	12386 	12801 	12124 	14183 	17203 	14386 	15478 	16233 	16751 	16591 	18382 	17009 	14895 	14621 	13062 	13033 	15993 	14924 	15066 	14016 	15209 	18165 	9982 	12373 	12073 	13118 	11843 	10631 	9316 	8682.4 	8164.9 	7058.4 b	7021.4 	7849.2 	6001.4 	8564.3 	7266.55 	7371.03 	7554.38 	7053.78 	6263.65 	5985.46 	7353.94 	5735.21 	5903.51 	5593.21 	6564.47 	6202.19 
A,CU,A5130O,THS,BG	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	3270 	3836.6 	2927.1 	2599 	2079 	2041.3 	2853.8 	2621.9 	2799.57 	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C
A,CU,A5130O,THS,CY	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	565.8 	437.8 	512.4 	374.5 	463.2 	392.4 	464 	466.2 	368.8 	337.3 	337 	391.39 	360.8 	278.18 	375.55 	269.58 	262.89 	536.44 	442.53 	583.42 	450.13 	480.95 	494.42 	504.18 
A,CU,A5130O,THS,CZ	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	8540 	7239 	7683 	7256 	7439 	9512 	7830 	8919 	10331 	8495.5 	: @C	: @C	: @C	10673.42 	11049.07 	11642.81 	12226.87 	11459.22 	13068.68 	13959.87 	13615.9 	13227.05 	14364.75 
A,CU,A5130O,THS,DE	55318.8 	52745 	62775.9 	52360.7 	50843.9 	48741.8 	44611.6 	48357.9 	44196.5 	44527.2 	45417.1 	43137.9 	41602 	42088.4 	43022.5 	40978.9 	40728.7 	41121.6 	39691 	38149 	38913 	35698 	36026 	35508 	44049 b	43023 	42485 	46112.7 	44653.6 	46106.5 	44285.7 	43151.5 	42606 	45660.4 	47481.7 	: 	51082 	42566.3 	41323.1 	41500.4 	42566.2 	39853.4 	40325.3 	43276.7 	44795.6 	46550.9 	44213.14 	44884.79 	47643.02 	: @C	45673.21 p	42116.03 p	45324.58 p	39811.79 p	29442.18 p	16190.77 p	18327.48 p	20895.49 p
A,CU,A5130O,THS,DK	: 	: 	: 	: 	: 	: 	5116.8 	5281.4 	3621.9 	3580.9 	3464.3 	4159.8 	4039.5 	4089.1 	4269.3 	4386.8 	4025.4 	4153.6 	4110.8 	3836.5 	4064.9 	4094 	3641 	4146 	4275 	4148 	4194 	4349 	3689 	: 	3342 	2546 	2426 	3675 	3148 	2709 	2720 	: 	2796 	2433 	2723 	2452 	2608 	3010 	2783 	: 	: 	: 	: 	: @C	: @C	: @C	3558 	3770 	3530 	3283.58 	3227.03 	3250.48 
